Town,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Date Updated
Durham,No,7165,5127,71.56,4846,67.63,08/18/2021
East Granby,No,5140,3586,69.77,3405,66.25,08/18/2021
East Haddam,No,8997,5933,65.94,5303,58.94,08/18/2021
East Hampton,No,12800,8432,65.88,7959,62.18,08/18/2021
East Hartford,Yes,49872,31808,63.78,28297,56.74,08/18/2021
East Haven,Yes,28569,17348,60.72,16029,56.11,08/18/2021
East Lyme,No,18462,13470,72.96,12727,68.94,08/18/2021
East Windsor,No,11668,7056,60.47,6403,54.88,08/18/2021
Eastford,No,1790,1012,56.54,952,53.18,08/18/2021
Easton,No,7521,5323,70.78,5032,66.91,08/18/2021
Ellington,No,16467,10728,65.15,10074,61.18,08/18/2021
Enfield,Yes,43659,25093,57.47,23315,53.4,08/18/2021
Essex,No,6668,5202,78.01,4916,73.73,08/18/2021
Fairfield,No,62045,43093,69.45,40393,65.1,08/18/2021
Farmington,No,25497,20158,79.06,19042,74.68,08/18/2021
Franklin,No,1920,1205,62.76,1135,59.11,08/18/2021
Glastonbury,No,34482,26385,76.52,24976,72.43,08/18/2021
Goshen,No,2863,1974,68.95,1842,64.34,08/18/2021
Granby,No,11507,7744,67.3,7376,64.1,08/18/2021
Greenwich,No,62840,44106,70.19,40739,64.83,08/18/2021
Griswold,Yes,11534,6126,53.11,5729,49.67,08/18/2021
Groton,Yes,38436,21711,56.49,20275,52.75,08/18/2021
Guilford,No,22133,16988,76.75,16155,72.99,08/18/2021
Haddam,No,8193,6129,74.81,5759,70.29,08/18/2021
Hamden,No,60556,38895,64.23,36307,59.96,08/18/2021
Hampton,No,1842,1081,58.69,1016,55.16,08/18/2021
Hartford,Yes,122105,60501,49.55,51949,42.54,08/18/2021
Hartland,No,2120,1211,57.12,1127,53.16,08/18/2021
